Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-05-27,7296.79625,7436.835,7617.845280125,7226.65
BTC,2018-05-28,7383.2175,7296.79625,7431.44,7251.02
BTC,2018-05-29,7118.42375,7383.2175,7386.68,7043.2823586382
BTC,2018-05-30,7491.61125,7118.42375,7562.366729247,7051.9578394976
BTC,2018-05-31,7363.27625,7491.61125,7541.0957594866,7282.1837278438
BTC,2018-06-01,7490.62125,7540.8105222724,7614.063907643,7361.565
BTC,2018-06-02,7518.333328931,7494.0654822749,7599.1804741896,7393.287587982
BTC,2018-06-03,7630.403388155,7516.6125685348,7696.5429259941,7450.6980170172
BTC,2018-06-04,7716.1450680606,7638.232021408,7774.8292847221,7600.2639442066
BTC,2018-06-05,7505.5892769261,7706.6398292592,7760.1783077338,7451.5239469731
BTC,2018-06-06,7624.1879705558,7505.5892814697,7671.3076224517,7361.0026225192
BTC,2018-06-12,6780.3408026703,6680.2168597016,6798.66293569,6673.123680465
BTC,2018-06-13,6525.329181606,6870.4103486233,6907.5024903778,6465.0761275719
BTC,2018-06-14,6321.6559647806,6525.0963860433,6599.7195547336,6154.350128898
BTC,2018-06-15,6601.3241577351,6296.3268589945,6671.7886519589,6270.4453042246
BTC,2018-06-16,6397.4411699407,6632.4461951216,6642.5181931937,6396.940015191
BTC,2018-06-17,6529.5440149899,6397.4411699333,6544.6148909901,6329.1900464333
BTC,2018-06-18,6482.8686968609,6491.9683234448,6555.9438003666,6431.0892329673
BTC,2018-06-19,6711.6496699796,6442.5285229109,6772.2491827215,6382.4426606401
BTC,2018-06-20,6731.7101466428,6706.6267954514,6808.1662713112,6669.8435674097
BTC,2018-06-21,6736.8677212375,6735.9369835741,6806.3634262527,6569.9067012076
BTC,2018-06-22,6729.9259369514,6760.2550964816,6787.4240775802,6682.9361944656
BTC,2018-06-23,6099.445277341,6729.4986888553,6729.9005927093,5987.76838583
BTC,2018-06-24,6198.7008235859,6041.9260123058,6313.5650375433,6019.8340150667
BTC,2018-06-25,6142.3925697055,6198.0403657754,6257.1167425294,5796.4925187679
BTC,2018-06-26,6244.3284549671,6146.2798868388,6321.1357824549,6090.1499992682
BTC,2018-06-27,6148.4227054114,6237.5096139827,6267.8720002731,6101.7312049112
BTC,2018-06-28,6140.1914995488,6153.0254740168,6160.8930649202,6004.1811183311
BTC,2018-06-29,5954.5265818138,6143.8517081013,6185.0444104434,5913.0126323353
BTC,2018-06-30,6189.3092519378,5952.9886577123,6226.6767066328,5809.8699593046
BTC,2018-07-01,6343.8921999592,6185.1036638459,6449.8920808095,6137.9558827804
BTC,2018-07-02,6373.2778541204,6393.2233555441,6445.8312444928,6258.3466331691
BTC,2018-07-03,6629.7495948521,6373.1849752001,6682.7574521996,6269.923681815
BTC,2018-07-04,6482.8305936314,6614.419252791,6678.1955600007,6471.6908582014
BTC,2018-07-05,6589.6327930083,6511.0200366196,6788.3074924403,6415.4962555785
BTC,2018-07-06,6538.6824323422,6590.0033563433,6699.7900318569,6460.2762408618
BTC,2018-07-08,6570.4275920965,6580.3146216111,6621.102557748,6501.4592766685
BTC,2018-07-09,6744.9886791676,6570.4271147528,6800.0152807201,6570.4058320936
BTC,2018-07-10,6694.5308510827,6744.9886791598,6798.9597862788,6667.489980928
BTC,2018-07-11,6364.3875895982,6694.5308510904,6701.5491708554,6326.4928986867
BTC,2018-07-12,6360.4466681956,6296.981692185,6400.5795891386,6271.5929293057
BTC,2018-07-13,6144.8101179498,6374.9745822869,6375.0683559545,6126.0297425219
BTC,2018-07-15,6254.6781291793,6254.7990075078,6323.0382556735,6182.0837229264
BTC,2018-07-16,6366.3499035552,6254.6781292371,6398.4681526594,6230.8489470154
BTC,2018-07-17,6671.6259190668,6356.1088751698,6709.1598240101,6335.1231568593
BTC,2018-07-18,7315.5510403376,6727.4563368665,7379.2347439433,6658.4086588742
BTC,2018-07-19,7359.7370183427,7316.1477118699,7581.5707388105,7245.3031110059
BTC,2018-07-20,7484.6396703854,7359.7370362237,7557.5130873787,7282.7727944508
BTC,2018-07-21,7357.4456773198,7484.6396626807,7697.0053450404,7281.4064978023
BTC,2018-07-22,7424.7342378111,7337.2820905188,7456.4643843467,7215.3270219278
BTC,2018-07-23,7411.2005247349,7424.5035031436,7571.7404506387,7341.5231649182
BTC,2018-07-24,7730.2474798128,7400.4646611346,7805.4912488458,7374.2513592577
BTC,2018-07-25,8325.8015336658,7730.2481771742,8359.319473753,7695.9828373707
BTC,2018-07-26,8271.5979196832,8320.1599473233,8486.0116795769,8056.0185645714
BTC,2018-07-27,7925.2473958792,8269.5323354969,8313.1266808228,7914.6009358296
BTC,2018-07-28,8254.2773483423,7933.125250505,8277.7036619011,7801.0094432898
BTC,2018-07-29,8184.6955351747,8182.375003005,8233.4821023714,8063.3261162412
BTC,2018-07-30,8201.8900899474,8184.6960858239,8292.5156584871,8119.7133096018
BTC,2018-07-31,8166.3883602012,8215.2159687792,8274.5337573392,7862.0742828965
BTC,2018-08-01,7700.8341285235,8166.6883994459,8198.4846169029,7666.2908836583
BTC,2018-08-02,7588.5861802231,7732.3472908783,7751.8776504108,7440.2415057795
BTC,2018-08-03,7547.3149505122,7589.374917258,7698.4871385663,7460.2950003976
BTC,2018-08-04,7423.0743779862,7527.0403990273,7533.6672633658,7271.202486843
BTC,2018-08-05,7396.0411215425,7423.0750930062,7501.3160290672,7359.2368129034
BTC,2018-08-06,7411.5152993623,7395.622456196,7413.1308105304,7386.0620769851
BTC,2018-08-07,7402.3366337439,7411.5152998302,7417.4086883999,7401.3750708468
BTC,2018-08-08,6748.4414841816,7402.3366314849,7412.2874611911,6678.2855604394
BTC,2018-08-09,6460.1531550102,6721.4350901721,6750.4083122841,6396.0883363517
BTC,2018-08-10,6482.9734487615,6460.1536974665,6483.4980648504,6455.9907009479
BTC,2018-08-11,6092.5331036604,6482.9687238409,6494.0163846345,6008.8548549331
BTC,2018-08-12,6391.5992583652,6101.8564779009,6473.2716582988,5982.2156316647
BTC,2018-08-13,6338.7389567451,6392.9727447014,6450.7243099506,6147.7605088678
BTC,2018-08-14,6260.1929950271,6338.7389033859,6532.5990168582,6150.2248155528
BTC,2018-08-15,6123.4476006082,6256.8440822464,6285.5576896057,5884.7792586111
BTC,2018-08-16,6332.6068999281,6186.9712074961,6587.3179578144,6180.2554202378
BTC,2018-08-17,6273.8880695393,6332.6068999537,6467.8624497653,6210.1614234161
BTC,2018-08-18,6566.5952833952,6277.0417762545,6572.9310929332,6259.3899567864
BTC,2018-08-19,6396.9463686172,6559.6938370996,6616.6767520854,6300.1149937042
BTC,2018-08-20,6516.6683821435,6391.0862687126,6539.9647240249,6302.2073816135
BTC,2018-08-21,6299.3953331255,6516.7725719977,6523.486096747,6280.3263280069
BTC,2018-08-22,6470.7335666523,6252.3288590532,6494.6650108453,6240.9018857525
BTC,2018-08-23,6355.8818088457,6470.0745108827,6882.8359061978,6250.6538226051
BTC,2018-08-24,6503.8323619614,6360.2169851987,6559.279488976,6347.0795383729
BTC,2018-08-25,6675.3606827832,6525.5266629003,6711.4936651318,6456.798837183
BTC,2018-08-26,6725.0323269894,6683.3545015052,6781.0758889115,6657.3875324947
BTC,2018-08-27,6689.8226825962,6725.0323270063,6776.8964057782,6570.7298220145
BTC,2018-08-28,6756.6289258733,6702.3919499644,6768.3055151323,6646.1680142
BTC,2018-08-29,7084.2936167368,6753.3104499758,7126.7305347283,6739.1907150636
BTC,2018-08-30,7059.2312352573,7079.5406126455,7133.6466309557,6923.6455309778
BTC,2018-08-31,6938.9145822993,7040.0750124576,7063.4405102579,6805.1985140589
BTC,2018-09-01,7028.447311566,6938.7629415769,7089.1748004802,6877.2867329365
BTC,2018-09-02,7198.0584362259,7028.4473112812,7273.5269247295,7002.3411062864
BTC,2018-09-03,7282.8585138311,7198.0579483792,7339.812043633,7130.1722508603
BTC,2018-09-04,7260.2515925593,7282.2317506289,7335.4550820599,7198.2649813613
BTC,2018-09-05,7361.2718642376,7263.0672965937,7417.6670369068,7240.3767384829
BTC,2018-09-06,6913.1150129363,7359.9743614374,7399.5386039947,6860.7727637815
BTC,2018-09-07,6471.493883654,6913.1150129363,6927.0940913586,6301.9363303141
BTC,2018-09-08,6400.2687056583,6515.3934895131,6539.7988126144,6318.9522293163
BTC,2018-09-09,6181.7442069566,6400.3352995888,6479.2026402878,6120.293703961
BTC,2018-09-10,6253.9372013424,6183.9777801483,6447.3137818127,6144.9240462963
BTC,2018-09-11,6275.0831321787,6253.9358630803,6379.8101101151,6226.2448265281
BTC,2018-09-12,6275.6695882724,6275.0862858054,6278.4770014947,6270.7841626348
BTC,2018-09-13,6277.4944091253,6275.6679619637,6278.1280336098,6270.935037184
BTC,2018-09-14,6283.1841998225,6277.2328882184,6284.2477044468,6277.2304308018
BTC,2018-09-15,6285.9824663114,6283.1844998379,6287.3646496692,6279.938808465
BTC,2018-09-16,6280.3101068801,6284.4863926488,6286.252577777,6279.3480367699
BTC,2018-09-17,6281.4093556542,6280.0413137918,6282.0950069528,6277.6007466855
BTC,2018-09-18,6273.2200825643,6281.4093546956,6282.8008768145,6271.0795718813
BTC,2018-09-19,6278.5954861797,6273.2200825647,6280.9622972434,6271.8944526771
BTC,2018-09-20,6282.6107265937,6277.4841075341,6291.6152000423,6265.0940171095
BTC,2018-09-21,6288.0701702962,6283.1191237588,6288.6864503353,6276.0944503822
BTC,2018-09-22,6317.6996850165,6288.0700736307,6327.3668657868,6286.8240798394
BTC,2018-09-23,6293.8364208374,6317.6999234045,6319.3257273949,6292.4706928337
BTC,2018-09-24,6289.6213269847,6293.8364208374,6294.3462737454,6287.2521022979
BTC,2018-09-25,6466.9945639118,6289.6206764534,6662.4231336286,6286.5290494094
BTC,2018-09-26,6391.3859805928,6466.9945176657,6480.6880894274,6331.8022312322
BTC,2018-09-27,6509.7766212475,6391.3859849297,6559.4844280412,6389.4295985979
BTC,2018-09-28,6698.4160468789,6509.7770135253,6737.9438444368,6435.7578750306
BTC,2018-09-29,6502.6881513173,6698.4167564183,6799.9307214967,6487.9535694366
BTC,2018-09-30,6576.6143197,6502.6869521812,6633.7609491965,6468.4035718177
BTC,2018-10-01,6647.3879467315,6576.6160829094,6664.3942294941,6537.7920786792
BTC,2018-10-02,6603.7543420461,6647.3878029401,6659.7968600971,6510.6471961955
BTC,2018-10-03,6576.3542289419,6539.3227382808,6585.4753112175,6532.1489274188
BTC,2018-10-04,6481.2457703264,6577.9971517849,6578.0015415591,6433.6559846007
BTC,2018-10-05,6594.9357857858,6506.4544523329,6642.0053618108,6501.9345634429
BTC,2018-10-06,6630.5752970678,6594.9357857858,6680.7751539016,6554.8110325146
BTC,2018-10-07,6595.2603262611,6634.1342411636,6644.5644760065,6571.4726623297
BTC,2018-10-08,6591.6863183363,6595.2603677099,6637.2232914797,6547.1878416829
BTC,2018-10-09,6662.8684995573,6614.1037057674,6696.4958135247,6591.2069680441
BTC,2018-10-10,6663.021070746,6662.868499427,6676.2308586929,6601.4793558534
BTC,2018-10-11,6619.4958451381,6663.0209787939,6663.0209787939,6546.9632867767
BTC,2018-10-12,6285.859202643,6628.470052521,6628.5829968309,6221.485449902
BTC,2018-10-13,6309.1989214047,6285.5063318981,6350.7841687247,6207.7182891851
BTC,2018-10-14,6331.1311540774,6309.198440134,6336.0911011569,6271.4844402804
BTC,2018-10-15,6361.4170162729,6329.9770498309,6408.6016409278,6319.7132087584
BTC,2018-10-16,6721.5875032778,6341.3807216161,7586.5246341774,6306.1846860022
BTC,2018-10-17,6724.8330778968,6723.0975107775,6897.0334414135,6679.9220977906
BTC,2018-10-18,6444.7470095938,6724.8331239937,6802.158611597,6432.0472117149
BTC,2018-10-19,6374.6488625469,6450.0646625031,6486.4749219109,6335.1735054446
BTC,2018-10-20,6372.6868170702,6374.6488629396,6407.227987545,6339.2650113519
BTC,2018-10-21,6407.4790849086,6360.8354903216,6438.7903466416,6342.0614545015
BTC,2018-10-22,6412.5304907339,6406.390391175,6472.834459348,6398.0033926026
BTC,2018-10-23,6396.8801542538,6412.2043047102,6437.0745568411,6362.3328661267
BTC,2018-10-24,6396.252324044,6405.5655961579,6434.9777026874,6352.1380455747
BTC,2018-10-25,6407.667175231,6402.0225495307,6460.2498037062,6383.9463302573
BTC,2018-10-26,6405.5007258241,6412.5660407915,6421.7832074351,6358.2592466682
BTC,2018-10-27,6392.1793373833,6405.3365524345,6448.0285064617,6370.1957348269
BTC,2018-10-28,6436.355483928,6392.845687125,6442.8894143342,6389.3444452112
BTC,2018-10-29,6429.6871414323,6441.7392211713,6442.0903728704,6408.7705841684
BTC,2018-10-30,6266.1896827178,6430.1504052633,6439.4576962046,6211.5605232337
BTC,2018-10-31,6276.4644997238,6265.910149503,6313.2724566474,6247.5175852126
BTC,2018-11-01,6321.713671307,6276.7346706838,6394.7834311905,6207.0573356075
BTC,2018-11-02,6341.0948126498,6322.0936278344,6376.6562270431,6296.5893373346
BTC,2018-11-03,6360.1412719216,6340.400655742,6409.156465813,6336.6497508795
BTC,2018-11-04,6344.7389429436,6360.7198120431,6371.2379695068,6292.1518123473
BTC,2018-11-05,6405.1397546807,6344.7389429933,6473.7784382572,6318.6276218102
BTC,2018-11-06,6396.3521235412,6405.1403309472,6440.957227671,6374.6988897195
BTC,2018-11-07,6425.9178018185,6404.3771748271,6449.9987451721,6377.5427753267
BTC,2018-11-08,6514.4894527375,6426.6552217602,6553.951931748,6424.6586263377
BTC,2018-11-09,6412.524289058,6518.3360881926,6530.7336614239,6400.9365464531
BTC,2018-11-10,6343.6325037562,6412.5239995551,6433.2531853235,6309.6526526156
BTC,2018-11-11,6365.655231516,6338.7818947324,6396.877363663,6335.2180512633
BTC,2018-11-12,6327.4806461044,6360.005433977,6380.8134341094,6292.7218466615
BTC,2018-11-13,6327.1546960646,6370.273273137,6391.766567815,6305.0102709434
BTC,2018-11-14,6282.4386771629,6327.1546966981,6331.4876341914,6245.2381744164
BTC,2018-11-15,5524.8010934193,6281.6044107763,6295.9538659491,5390.1166299792
BTC,2018-11-16,5511.1528335321,5524.764808932,5692.0689524537,5244.6942670896
BTC,2018-11-17,5448.6006335653,5573.0171532108,5608.7225883851,5423.0504044658
BTC,2018-11-18,5497.4112787322,5513.4238604307,5564.0289679111,5466.5005898062
BTC,2018-11-19,5553.014895008,5497.3677842212,5638.9769731761,5495.6778216834
BTC,2018-11-20,4800.3428974568,5553.014746716,5610.1495510444,4708.8642554494
BTC,2018-11-21,4246.3127740611,4744.6198406513,4888.6227118272,4076.5947165121
BTC,2018-11-22,4478.2995582941,4364.7415489787,4631.902484782,4250.1650634179
BTC,2018-11-23,4405.7440313629,4476.2272441122,4591.8791150933,4354.5686489715
BTC,2018-11-24,4329.9172203207,4405.744487254,4405.7445849197,4119.999690568
BTC,2018-11-25,3728.8726484882,4329.9254247354,4378.5098917473,3668.6139696012
BTC,2018-11-26,3951.20502915,3788.2890885374,4101.9993874026,3447.5760411337
BTC,2018-11-27,3640.5571648024,3951.2115204756,4064.7482167097,3530.7216456852
BTC,2018-11-28,3792.1923641199,3640.9379250251,3830.8201418608,3559.3240649925
BTC,2018-11-29,4174.31997237,3792.1959942366,4341.4399220735,3752.4461786953
BTC,2018-11-30,4218.6083631146,4220.3233352743,4400.4625831009,4082.3198208161
BTC,2018-12-01,3952.4478953992,4241.7446996734,4299.9763743864,3878.6581009553
BTC,2018-12-02,4178.60382773,3953.5214624664,4251.3699479575,3904.3941906643
BTC,2018-12-03,4118.5182417699,4138.477059627,4255.9540212471,4038.0985836485
BTC,2018-12-04,3847.0327374089,4092.8511149115,4104.8589568089,3755.3260924828
BTC,2018-12-05,3889.2921196935,3847.0204604306,4034.5315580589,3724.0033427821
BTC,2018-12-06,3713.5733827508,3889.292261066,3913.5317755509,3675.5414837475
BTC,2018-12-07,3578.2066240384,3696.3514674753,3838.1209766583,3547.0139392787
BTC,2018-12-08,3391.8741459694,3578.2072060032,3621.5012565288,3201.7627967705
BTC,2018-12-09,3452.6161853921,3391.8781755963,3475.9301775671,3251.8357967294
BTC,2018-12-10,3507.3063671956,3452.5884991144,3642.4148503997,3374.3669866557
BTC,2018-12-11,3419.7337684576,3528.1202013162,3591.2367342495,3355.6425528589
BTC,2018-12-12,3360.9466282566,3409.1628817491,3428.1004177574,3294.037452444
BTC,2018-12-13,3414.8337488292,3360.9561908129,3474.3913555499,3324.9251795167
BTC,2018-12-14,3263.5479129873,3427.0497290106,3435.1424732744,3233.263656101
BTC,2018-12-15,3212.207080727,3262.2716827669,3300.6513939453,3138.099493695
BTC,2018-12-16,3194.96227244,3212.2071589501,3227.8674198728,3122.3427164835
BTC,2018-12-17,3200.6424680869,3178.299354793,3256.6003258844,3176.3530149734
BTC,2018-12-18,3478.461202649,3199.1762645654,3579.8148841419,3181.7013948425
BTC,2018-12-19,3562.8949463603,3478.4609900005,3573.2403351297,3429.858731473
BTC,2018-12-20,3709.3167592101,3664.6588290579,3929.0984909421,3642.8286649922
BTC,2018-12-21,4065.7999528499,3709.3235319539,4160.2967260415,3662.7434387839
BTC,2018-12-22,3824.7397939051,4065.7736166509,4164.5506507301,3774.3236836839
BTC,2018-12-23,3862.7263286473,3838.2303868152,3929.8595909537,3791.9053752251
BTC,2018-12-24,3949.7943416583,3862.7263285159,4052.2305472168,3862.7229992528
BTC,2018-12-25,4054.2962598168,3942.7377761177,4241.4361339864,3942.6694475586
BTC,2018-12-26,3767.3500239009,4030.0034134892,4045.5720841772,3677.0436490123
BTC,2018-12-27,3807.1530224727,3767.8721036119,3869.4011644061,3682.6818450797
BTC,2018-12-28,3587.1982229208,3809.2952035809,3842.3117925732,3571.1523760499
BTC,2018-12-29,3865.5293004371,3587.2353507323,3945.2446489655,3558.7377173657
BTC,2019-01-01,3689.5646203364,3689.9723378682,3690.3067917937,3689.4751199481
BTC,2019-01-02,3715.5644411293,3693.3300666654,3741.8818553972,3644.8762824863
BTC,2019-01-03,3882.304754348,3715.5643838661,3900.7091270403,3711.2741076363
BTC,2019-01-04,3795.5927412969,3882.3036216798,3916.1976844374,3760.9440417808
BTC,2019-01-05,3812.3811076791,3781.020705993,3844.986111038,3725.7396632966
BTC,2019-01-06,3809.9143429619,3812.3811191955,3866.4174315002,3775.8288779968
BTC,2019-01-07,4014.1331870739,3797.0340970819,4063.9453560949,3758.5165264648
BTC,2019-01-08,3989.6317409326,4032.4591655851,4060.8647998529,3526.1392784483
BTC,2019-01-09,3992.9861439065,3989.6317529072,4096.3830349478,3947.0359235851
BTC,2019-01-10,3995.3251931641,3981.9382996592,4023.7344900783,3965.9763463782
BTC,2019-01-11,3617.3462911588,3995.3251807214,4025.5283108917,3570.076959892
BTC,2019-01-12,3606.1648903844,3617.268962197,3676.7323463205,3572.6749793622
BTC,2019-01-13,3611.5282378524,3609.1295656008,3644.3441048105,3564.6278890838
BTC,2019-01-14,3497.6693915005,3614.4208481332,3642.0477232305,3480.8328903724
BTC,2019-01-15,3654.3470673605,3497.6696152725,3696.0690013667,3488.7187151541
BTC,2019-01-16,3568.7512587366,3653.6803179504,3679.7036556421,3544.4295513188
BTC,2019-01-17,3593.7217397683,3568.6826659047,3662.9187293804,3567.1487961193
BTC,2019-01-18,3623.717336702,3603.5516365649,3644.7312977719,3546.3096872144
BTC,2019-01-19,3605.8551868777,3623.7175000563,3641.9610380994,3578.4253177178
BTC,2019-01-20,3690.9085636878,3605.8551173227,3735.3565403606,3602.420476252
BTC,2019-01-21,3544.2217242808,3680.2847465733,3701.4548021804,3490.7036841512
BTC,2019-01-22,3528.4635294479,3544.221815669,3558.2338181581,3496.6026418546
BTC,2019-01-23,3581.5519472363,3528.463928169,3605.7416768987,3444.6864706167
BTC,2019-01-24,3549.770799097,3572.6889495791,3608.8769021965,3521.835474332
BTC,2019-01-25,3562.9204764613,3555.8619611779,3591.5938974426,3530.5473093896
BTC,2019-01-26,3566.6661636996,3571.8088869481,3574.1243701222,3522.4241867044
BTC,2019-01-27,3563.2780095528,3566.6662254659,3648.4999031042,3541.1709868168
BTC,2019-01-28,3539.6209472447,3563.1602016498,3564.954936082,3481.3844702502
BTC,2019-01-29,3425.2621611882,3530.2037098414,3541.4171613861,3374.4639009087
BTC,2019-01-30,3395.0186452497,3429.7077486011,3438.0683712479,3346.1431882717
BTC,2019-01-31,3441.0322154158,3395.2247993224,3460.2319504376,3371.6887461729
BTC,2019-02-01,3420.633226576,3434.5218470937,3471.2474609692,3394.2846344068
BTC,2019-02-02,3439.8056988758,3412.7222187981,3454.4143010866,3375.7316830155
BTC,2019-02-03,3433.0352852216,3440.0768467245,3453.6943391505,3409.5411062042
BTC,2019-02-04,3404.499313399,3433.0448952612,3487.5719731172,3386.5793662385
BTC,2019-02-05,3412.2304311019,3417.0229432502,3442.6380964385,3393.9942103601
BTC,2019-02-06,3419.7678987458,3412.2303777078,3433.6896318768,3398.9557445455
BTC,2019-02-07,3367.5190315823,3428.981334945,3441.9204599448,3344.1244221554
BTC,2019-02-08,3360.534075862,3365.5294725506,3380.7838372438,3349.755990129
BTC,2019-02-09,3591.0221518825,3360.5344472195,3702.4815714913,3343.3434931607
BTC,2019-02-10,3617.4646801319,3621.6273862828,3638.4942900867,3590.2892237183
BTC,2019-02-11,3621.1540027134,3617.4645020652,3631.0382194861,3577.9800927456
BTC,2019-02-12,3593.1831765659,3621.1736667164,3653.1166205433,3579.4289942413
BTC,2019-02-13,3579.3418810265,3593.1832668492,3616.4232425127,3546.2494328416
BTC,2019-02-14,3569.5548327757,3589.2241478165,3625.7904946388,3556.8985517884
BTC,2019-02-15,3558.3968581047,3569.5548371285,3587.7735125697,3536.4280980834
BTC,2019-02-16,3566.2477646317,3555.1994796906,3617.5201309069,3542.4125039588
BTC,2019-02-17,3596.4051912371,3566.2371496053,3607.9635038149,3564.6096749623
BTC,2019-02-18,3606.1519884106,3596.3886153738,3662.6204110155,3558.7572134915
BTC,2019-02-19,3865.3181649793,3606.1329608472,3925.1213667493,3598.9242555342
BTC,2019-02-20,3904.4829202328,3869.8341042032,3975.8895982273,3842.3006851046
BTC,2019-02-21,3924.7398439211,3904.4656441042,3964.5554961653,3861.1203422816
BTC,2019-02-22,3889.7584851849,3924.7398438411,3979.0579285253,3870.9501631812
BTC,2019-02-23,3933.6075896328,3898.5078671278,3953.5348129144,3889.6196960051
BTC,2019-02-24,4105.1127585961,3933.6061118916,4146.0112742329,3912.7441268992
BTC,2019-02-25,3763.6205157956,4105.0951884909,4178.6586138045,3697.8200197762
BTC,2019-02-26,3819.8653414425,3763.6221670583,3852.370301297,3729.6852140889
BTC,2019-02-27,3797.5817895103,3819.8793160372,3831.0290648074,3762.2121951164
BTC,2019-02-28,3772.9363353275,3796.6372843084,3824.1658793727,3666.5240164294
BTC,2019-03-01,3799.678542951,3773.4414607526,3879.2311846694,3753.8000224646
BTC,2019-03-02,3811.6119793671,3799.3670260062,3840.0448230745,3788.9184983301
BTC,2019-03-03,3804.4191701095,3806.6915127875,3819.1943561235,3759.4092164743
BTC,2019-03-04,3782.6641011218,3807.8457559152,3818.6954813471,3766.2420482277
BTC,2019-03-05,3689.8628931904,3783.3550634445,3804.3536162349,3663.4777433591
BTC,2019-03-06,3832.0808847342,3701.0498710337,3866.7187042421,3688.6971538467
BTC,2019-03-07,3848.9563696825,3832.5924290751,3881.9657697745,3802.516053637
BTC,2019-03-08,3859.8399833296,3848.9563673107,3890.7454923564,3827.6703034796
BTC,2019-03-09,3828.3719040694,3859.800616241,3917.9975657866,3778.5164813299
BTC,2019-03-10,3898.8684595605,3841.8871376912,3948.8841402936,3832.1449117909
BTC,2019-03-11,3899.6558689562,3916.7561923023,3921.934211189,3865.9157812103
BTC,2019-03-12,3851.2491896498,3899.4592741125,3913.4555196012,3819.9289426072
BTC,2019-03-13,3866.2959463248,3851.6238815417,3879.9716038316,3795.675857003
BTC,2019-03-14,3846.2744415121,3866.295956546,3873.719094248,3823.8087959307
BTC,2019-03-15,3855.7443626577,3846.2744497219,3897.7257096203,3792.3919138171
BTC,2019-03-16,3892.0523011383,3855.7443243866,3908.2782944187,3843.4489631821
